Category,Metric,Value,Source,Description
gem5_stats,system.cpu.dcache.blockedCauses::no_targets,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.avgBlocked::no_mshrs,,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.avgBlocked::no_targets,,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMshrMisses::cpu.data,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMshrMisses::total,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMshrMisses::cpu.data,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMshrMisses::total,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMshrMissLatency::cpu.data,7912000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMshrMissLatency::total,7912000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMshrMissLatency::cpu.data,7912000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMshrMissLatency::total,7912000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMshrMissRate::cpu.data,0.066667,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandMshrMissRate::total,0.066667,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMshrMissRate::cpu.data,0.066667,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallMshrMissRate::total,0.066667,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandAvgMshrMissLatency::cpu.data,58607.407407,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.demandAvgMshrMissLatency::total,58607.407407,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallAvgMshrMissLatency::cpu.data,58607.407407,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.overallAvgMshrMissLatency::total,58607.407407,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.replacements,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.hits::cpu.data,1028.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.hits::total,1028.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.misses::cpu.data,56.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.misses::total,56.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.missLatency::cpu.data,3598000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.missLatency::total,3598000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.accesses::cpu.data,1084.0,stats.txt,gem5 simulation statistic
